,newstype,category_id,news_porter_stemmed
10,politics,2,blair reject iraq advic call toni blair reject call public advic legal iraq war amid grow call investigation. prime minist told monthli press confer matter dealt attorney general. earlier conserv mp michael mate join call probe claim lord goldsmith statement parliament drawn number 10. mr blair said statement fair summari lord goldsmith opinion. (lord goldsmith) said say. dealt time time time mr blair told monthli news confer down street. refus answer question issu say dealt liter score time posit chang . lord goldsmith deni lean say word written his. govern refus publish advic legal war - say paper alway kept confidential. mr mate member common intellig secur committe part butler inquiri pre-war intellig told bbc friday: gener rule right absolut rule. said occas advic publish recent regard princ charl marriag plans. govern could pick choos use convent said. mr mate added: discov two three occas past law offic advic govern published. may one special occasions... would public interest see advic attorney gener gave prime minister. argument reject mr blair said: firstli broken preced secondli peter goldsmith made statement got absolut noth add it. book publish week philipp sand qc member cheri blair matrix chamber say lord goldsmith warn toni blair 7 march 2003 iraq war could illeg without second un resolut sanction militari action. short statement lord goldsmith posit present written parliamentari answer 17 march 2003 - crucial common vote militari action. mr sand book suggest actual written home offic minist lord falcon down street advis baro morgan. former minist clare short resign govern iraq war said statement earlier shown cabinet discuss militari action. told bbc full advic attach accord ministeri code. view need hous lord set special committe summon attorney get paper look exactli happen said. conserv liber democrat say want public full legal advic given attorney general. thursday lord goldsmith said statement written number 10 . parliamentari answer march 17 2003 explain genuin held independ view militari action law exist secur council resolut said.
11,entertainment,4,housew lift channel 4 rate debut us televis hit desper housew help lift channel 4 januari audienc share 12% compar last year. success celebr big brother simpson enabl broadcast surpass bbc2 first month sinc last july. howev channel share audienc fell 11.2% 9.6% last month comparison januari 2004. celebr big brother attract less viewer 2002 series. comedi drama desper housew manag pull five million viewer one point run date attract quarter televis audience. two main televis channel bbc1 itv1 seen monthli audienc share declin year year comparison januari five proport remain slender 6.3%. digit multi-channel tv continu strongest area growth bbc report freeview box ownership five million includ one million sale last portion 2004. share audienc soar 20% januari 2005 compar last year current stand averag 28.6%.
12,business,0,uk coal plung deeper loss share uk coal fallen mine group report loss deepen £51.6m 2004 £1.2m. uk biggest coal produc blame geolog problem industri action oper flaw deep mine worsen fortunes. south yorkshir compani led new chief execut gerri spindler said hope return profit 2006. earli trade thursday share 10% 119 pence. uk coal said make signific progress shake business. introduc new wage structur new daili mainten regim machineri mine method continu mine advers conditions. compani said action significantli uplift earn . expect 2005 transit year return profit 2006. recent rise coal price fail benefit compani output alreadi sold said. total product cost £1.30 per gigajoul uk coal said averag sell price £1.18 per gigajoule. long journey ahead fix issues. continu make progress great stride alreadi made said mr spindler. uk coal oper 15 deep surfac mine across nottinghamshir derbyshir leicestershir yorkshir west midland northumberland durham.
13,business,0,bp surg ahead high oil price oil giant bp announc 26% rise annual profit $16.2bn (£8.7bn) back record oil prices. last week rival shell report annual profit $17.5bn - record profit uk-list company. bp ad increas fourth-quart dividend 26% 8.5 cent would continu share buybacks. bp chief execut lord brown said result strong oper financially. compani earn $1.8m hour. despit record annual profit figur bp perform expect citi analysts. howev bp share price rose 4p nearli 1% morn trade 548p. profit rise year includ profit $3.65bn (£1.97bn) final three month 2004 - $2.89bn year ago third quarter. speak bbc today programm tuesday lord brown said profit sole high oil price alone. profit price oil said. lord brown point bp reap benefit invest oil exploration. spent mani year buy (assets) price low said. compani made new discoveri egypt gulf mexico angola. howev lord brown reject call windfal tax compani huge profit say north sea paid progress tax profit made. lord brown believ oil price remain quit high. current $40 barrel said: price oil well support $30 barrel medium term. bp put product year 3.997 billion barrel oil 10% 2003 slightli lower four billion barrel initi aim for.
14,sport,3,ireland 21-19 argentina injury-tim drop goal ronan gara stole victori ireland underneath nose argentina lansdown road saturday. gara kick ireland point two drop goal five penalti give home side 100% record autumn internationals. impress argentina appear control die seconds. puma shock irish earli tri federico aramburu felip contepomi kick 14 points. well-dril sharper puma out-play out-thought ireland earli stages. indisciplin allow argentina leinster fly-half contepomi open score third minut straightforward penalty. mark two minut later argentina shock rag ireland first tri game. ireland turn ball manuel contepomi broke unstructur defenc feed midfield partner aramburu sprint posts. gara final got ireland board drop goal ninth minut contepomi rifl second penalti two minut later. play strong wind rain ireland continu come second best tight situat turnov began mount rug defence. gara manag land second penalti 36th minut contepomi repli kind four minut first-half injuri time. second-half start first ended. gara rifl anoth penalti 45th minut contepomi match three minut later. upper-bodi strength puma never allow ireland take control front three-quart space manoeuvre. ireland reli gara boot keep touch rather contriv run plays. munsterman land two penalti - one 48 metr - bring team within four point 13 minut clock remaining. ireland chanc came argentina number eight gonzalo longo yellow card six minut go offenc line-out. gara made mistak rifl fifth penalti set tens final minutes. ireland show great composur get posit allow gara thump massiv drop goal complet tremend fortuit comeback.
15,sport,3,wenger sign new deal arsen manag arsen wenger sign new contract stay club may 2008. wenger end specul futur agre long-term contract take beyond open arsen new stadium two years. said: sign new contract rubber-stamp desir take club forward fulfil ambitions. still much achiev target drive club on. excit time arsenal. 55-year-old frenchman told arsen websit www.arsenal.com: intent alway clear. love club happi here. wenger titl fa cup three time reign. chairman peter hill-wood said: absolut delight arsen sign extens contract. sinc arriv 1996 revolutionis club pitch. well six major honour time arsen lead influenc behind major initi club includ construct new train centr also new stadium. club continu reap benefit arsen natur eye unearth footbal talent. current fantast crop young player come rank togeth number world-class player play wonder brand football. meanwhil arsen director danni fiszman look wenger stay beyond 2008. come toward end contract review situation. sure want stay hope said fiszman.
16,entertainment,4,u2 desir number one u2 three prestigi grammi award hit vertigo stubbornli cling statu one biggest band world. popular group histori rock sever thing common. music must inspir appeal across gener distinct alway groundbreaking. success music. compel perform charismat intellig enough make good decis keep feet ground. also want it. want biggest band ever stop want it. beatl roll stone still rem hold onto queen catsuit. u2 spade keep churn out. new album dismantl atom bomb come 28 year schoolfriend got togeth dublin 17 year joshua tree cement place all-tim rock a-list. may lost edgi raw youth forc propel top lost none desir abil craft song albums. vertigo first singl new album went straight uk singl chart number one knock eminem top spot give 26th top 10 hit. challeng bigger bolder better - make record whole world listen bono recent said. drummer larri mullen jr echo sentiments: competit - want radio big singles. want thought veteran band. band done everyth consider power ensur remain biggest band world accord q magazin editor paul rees. make huge determin formidable. added: equal determin push make music continu stand up. constantli re-inv challeng themselves. perhap alon rock band got better age. key ingredi fact highli organis mr ree said. everyth right way. group born mullen put appeal bandmat high school notic board attract fellow pupil paul hewson (bono vocals) adam clayton (bass) david evan (the edg guitar) brother dick. dick evan soon drop four-piec known feedback hype settl u2. 1978 talent contest got notic manag paul mcguinness. brilliant coars mcguin recent said. way exactli now. badly. struggl attract record compani attent later describ pretti damn averag strang eeri scout saw live. releas two ireland-onli singl top nation chart 1979 1980 lead deal island debut album boy. stadium-fil anthem sound u2 aim start third album war saw make breakthrough side atlant go number one uk 12 us. song like sunday bloodi sunday new year day brought success imag polit spiritu band - bono reject cliche. stage perform - includ flag-wav speaker-climb drum-throw - earn reput electr perform appear 1985 live aid wide seen seal global stardom. 1987 joshua tree broke sale record saw band reach height power hit includ street name still found look without you. song took band epic atmospher sound simpl power popular pinnacle. end decad mark crucial point band - reach top still yearn new challeng achievements. came form explor differ branch rock foray electron danc music plu wildli extravag stage show still tri retain mass appeal. achtung babi album 1991 follow zooropa pop correspond stadium tour featur giant oliv fli car live phone call white hous bono transform alter-ego fli macphisto. also build parallel reput - alway pleasur bandmat - campaign issu global debt aids. releas dismantl atom bomb sold 125 million album around world. still want more.
17,sport,3,hantuchova dubai last eight daniela hantuchova move quarter-fin dubai open beat elen likhotseva russia 7-5 6-4 face serena williams. australian open champion william surviv earli scare beat russia elena bovina 1-6 6-1 6-4. world number one lindsay davenport anastasia myskina also progressed. davenport defeat china jie zheng 6-2 7-5 french open champion myskina sail oppon marion bartoli retir hurt. american davenport face fellow former wimbledon champion conchita martinez spain oust seventh-seed nathali dechi franc 6-1 6-2. myskina face eighth-se patti schnyder switzerland defeat china li na 6-3 7-6 (10-8). quarter final pit wild card sania mirza india jelena jankov serbia montenegro tuesday. meet martinez davenport believ room improv game. start well finish well play so-so game middl said. william also far content. know said. realli windi play wind. shot go here. hantuchova upbeat mood ahead clash younger william sister hand first-round bye. feel advantag (over serena) alreadi play two match court said. difficult court play on. fast sometim feel control ball.
18,sport,3,melzer shock agassi san jose second seed andr agassi suffer comprehens defeat jurgen melzer quarter-fin sap open. agassi often bamboozl austrian drop shot san jose lose 6-3 6-1. defend champion top seed andi roddick ralli beat sweden thoma enqvist 3-6 7-6 (8-6) 7-5. unseed cyril saulnier beat fourth seed vincent spadea 6-2 6-4 tommi haa overcam eighth seed max mirnyi 6-7 (2-7) 7-6 (7-3) 6-2. melzer beaten agassi two three meetings. good game plan execut perfectli said. alway tough come play andre. want play game. make run like dog court. agassi match power oppon two-hand backhand said melzer exampl sever player tour will take chanc him. lot guy capabl said american. play much better me. times. opportun loosen agassi added. convert big points.
19,tech,1,move mobil improv golf swing mobil phone recognis respond movement launch japan. motion-sensit phone - offici titl v603sh - develop sharp launch vodafon japanes division. devis mainli mobil game user also access phone function use pre-set pattern arm movements. phone allow golf fan improv swing via golf game. prefer shoot- em-up abl use phone like gun shoot zombi mobil version sega hous dead. phone come tini motion-control sensor comput chip respond movement. featur includ display screen allow user watch tv rotat 180 degrees. also doubl electron music instrument. user select sound menu includ clap tambourin maraca shake phone creat beat. recommend karaok market. phone initi avail japan due go sale mid-february. new gadget could make interest people-watch among japanes commut abl access mobil subway. fish afficiando south korea alreadi use phone allow simul movement rod. ph-s6500 phone dub sports-leisur gadget develop korean phone giant pantech also use runner measur calori consumpt distanc run.
20,sport,3,hewitt overcom wobbl sydney lleyton hewitt gave perfect prepar next week australian open victori ivo minar final sydney international. defend champion brush asid czech qualifi 7-5 6-0. australian world number three stroll first five game match shock minar next five. top seed rattl recov close set race victori exactli hour. strang match . . . momentum swing said hewitt. felt like came block extrem well loosen bit. got back 5-5 tri settl take notch abl that. hewitt lift sydney titl four time last six years. keep get better better everi year hewitt said. play tournament four time four times. hewitt went final short-pric favourit clinch 24th career titl drop one set week. set meet frenchman arnaud clement first round australian open. minar rank 158th world forc pull australian open qualifi draw play first atp final. big success said 20-year-old. nervou last night sleep. never play top-10 player before. want play qualifi melbourn saturday still here. main draw need point money. alicia molik take samantha stosur all-australian women final later saturday.
21,entertainment,4,carri star patsi rowland die actress patsi rowland known million role carri film die age 71. rowland star nine popular carri film alongsid fellow regular sid jame kenneth william barbara windsor. also carv success televis career appear mani year itv well-lov comedi bless house. rowland die hove saturday morn agent said. born januari 1934 rowland scholarship guildhal school speech drama scholarship 15. spend sever year player theatr london made film debut 1963 tom jone direct toni richardson. made first carri film 1969 appear carri doctor. rowland play hard-done-bi wife put-upon employe regular carri star. also appear carri conveni carri matron carri love well others. recent year appear bbc mini-seri cazalet play mr pott london stage version beauti beast. agent simon beresford said: absolut favourit client never complain anyth particularli ill old trouper. old school - skill music theatr high drama work great good directors. mind alway recognis carri film thoroughli enjoy make them. realli love person much missed. last appear stage mr pearc award-win product fair ladi nation theatre. previous marri leav one son alan. funer privat famili occas memori servic later date.
22,sport,3,serena becom world number two serena william move five place second world rank australian open win. william first grand slam titl sinc 2003 victori lindsay davenport world number one. men champion marat safin remain fourth atp rank beaten finalist lleyton hewitt replac andi roddick world number two. roger feder retain top spot safin overtaken hewitt becom new leader champion race. alicia molik lost three-set thriller davenport quarter-fin women top 10 first time career. rise mean australia player top 10 men women rank first time 21 years. britain elena baltacha qualifi reach third round risen 120 world - leap 65 place highest rank yet.
23,sport,3,ferguson urg henri punish sir alex ferguson call footbal associ punish arsen thierri henri incid involv gabriel heinze. ferguson believ henri deliber caught heinz head knee unit controversi win. unit boss said wors ruud van nistelrooy foul ashley cole got three-gam ban. shall present fa see do. tackl heinz terribl said. club permit ask fa examin specif incid inform expect provid within 48 hour game. clash occur moment half-tim freddi ljungberg challeng left heinz ground left touchline. henri follow ball attempt hurdl argentin knee collid back heinz head. striker protest innoc - refere mike riley deem collis accidental. ferguson also upset arsen overal disciplin heat encount two arch-riv prais side behaviour. edu produc terribl tackl schole potenti leg-break said. 24 foul game arsen seven heinz five ronaldo six vieira - sixth foul got booked. phil nevil got book first challenge. proud player way handl pressure. alway good graciou defeat. happen sunday overshadow achiev time
24,tech,1,bt boost broadband packag british telecom said doubl broadband speed home busi customers. increas speed come extra charg follow similar move internet servic provid aol. mani bt custom download speed 2mbp although usag allow one gigabyt 30 gigabyt month. new speed start come effect 17 februari home custom 1 april businesses. britain broadband britain said duncan ingram bt manag director broadband internet services. added: nineti percent custom see real increas speed. speed increas give peopl opportun lot broadband connect said. upload speed - speed inform sent pc via broadband - remain speed said mr ingram. despit increas bt continu usag allow home customers. allow extrem gener said mr ingram see market place - realli issue. bt begin enforc allow summer. custom exceed amount either abl pay bigger allow see download speed reduced. bt 36% share broadband market - 39% - becom increasingli competitive. last month mani rival isp begun offer 2mbp servic includ aol plusnet uk online. britain continu lag behind countri - especi japan south korea - offer broadband speed 40mbps. mr ingram said import separ hype realiti . said limit number peopl connect consist receiv speed 40mbps. custom see connect doubl immedi 17 february. mr ingram said would roll across network order prevent problems.
25,business,0,china role yuko split-up china lent russia $6bn (£3.2bn) help russian govern renationalis key yuganskneftega unit oil group yuko revealed. kremlin said tuesday $6bn russian state bank veb lent state-own rosneft help buy yugansk turn came chines banks. revel came russian govern said rosneft sign long-term oil suppli deal china. deal see rosneft receiv $6bn credit china cnpc. accord russian newspap vedomosti credit would use pay loan rosneft receiv financ purchas yugansk. report said cnpc offer 20% yugansk return provid financ compani opt long-term oil suppli deal instead. analyst said one factor might influenc chines decis possibl litig yuko yugansk former owner cnpc becom shareholder. rosneft veb declin comment. two compani [rosneft cnpc] agre pre-pay long-term deliveri said russian oil offici sergei oganesyan. noth unusu pre-pay five six years. announc help explain rosneft medium-s indebt rel unknown firm abl financ surpris purchas yugansk. yugansk sold $9.3bn auction last year help yuko pay part $27bn bill unpaid tax fines. embattl russian oil giant previous file bankruptci protect us court attempt prevent forc sale main product arm. yugansk sold littl known shell compani turn bought rosneft. yuko claim downfal punish polit ambit founder mikhail khodorkovsky. countri richest man mr khodorkovski trial fraud tax evasion. deal rosneft cnpc seen part china desir secur long-term oil suppli feed boom economy. china thirst product crude oil copper steel help push global commod price record levels. clearli chines tri get leverag [in russia] said dmitri lukashov analyst brokerag aton. understand properti right russia import right interest guarante supplies. price oil fix deal unlik could profit chines mr lukashov continued. rosneft desper need cash good deal too.
26,tech,1,peer-to-p net stay peer-to-p (p2p) network stay verg exploit commerci media firm say panel industri experts. sever high-profil legal case file-shar resolv year firm keen tri make money p2p technology. expert panel probe futur p2p consum electron show la vega earlier january. first convict p2p piraci hand us january. william trowbridg michael chicoin plead guilti charg infring copyright illeg share music movi software. sinc first success file-shar network napster forc close entertain industri nervou critic p2p technolog blame fall sale piracy. go chang soon accord panel. music film industri start big legal case owner legitim p2p network - illeg - individu accus distribut pirat content networks. slowli realis p2p good way distribut content said travi kalanick founder chairman p2p network red swoosh soon go want slice it. wait come busi model work includ digit right manag copy-protect standards. legal action resolv experiment p2p cannot happen said michael weiss presid streamcast networks. rememb furor around vcr first came mr weiss said: old media alway tri stop new media. stop tri control it. figur make money alway make lot money. court decid vcr illeg technolog film studio turn extrem lucr business. august 2004 san francisco-bas us court appeal rule favour grokster streamcast two file-shar networks. court said essenti posit soni 1980 vcr battl said network could deem illegal. p2p network usual reli dedic server transfer files. instead use direct connect comput - clients. mani differ type p2p system work differ ways. p2p net use share kind file like photo free softwar licens music digit content. bbc alreadi decid embrac technology. aim offer programm download year use p2p technolog distribut them. file would lock seven day programm air make right manag easier control. technolog still demonis misunderstood many. global entertain industri say 2.6 billion copyright music file download everi month half million film download day. legal music download servic like appl itun napster rush music marketplac tri lure file-shar away free content. sale legally-download song grew tenfold 2004 200 million track bought onlin us europ 12 month ifpi report week. download servic differ p2p network least financi aspect. sever money-spin model could turn p2p golden egg commerci entertain companies. paid-for-pass-along firm receiv money time file share along variou drm solut advertiser-bas option considered. see go differ model commoditis p2p said marc morgenstern vice presid anti-piraci firm overpeer. consum hungri discov new model togeth agre mr morgenstern. mani net user continu ignor entertain industri potenti control grip content p2p technolog continu use creations. unsign band exampl use p2p network distribut music effect also draw attent record compani look new artist sign. increasingli see p2p consumer-cr content said derek broe microsoft. probabl pay increas role help p2p spread said. look p2p futur file share begin p2p network far mr broe concerned. issu resolv go see aggress movement protect content also way unimagin said. file-shar tip iceberg.
